由于语法栈中内容较多，为了便于区分，[]为语法栈内容，()为表达式内容

步骤	[语法栈]	(输入串)	表达式
354	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID', u'Push']	(ID)	45 Push ID FTYP
355	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID']	(ID)	0
356	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Ftem', u'FTYP']	(*)	
357	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Ftem']	(*)	0
358	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Upex', u'Item', u'*', u'Push']	(*)	41 Push * Item Upex
359	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Upex', u'Item', u'*']	(*)	0
360	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Upex', u'Item']	(NUM)	
361	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Upex', u'Ftem', u'Fact']	(NUM)	40 Fact Ftem
362	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Upex', u'Ftem', u'NUM', u'Push']	(NUM)	43 Push NUM
363	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Upex', u'Ftem', u'NUM']	(NUM)	0
364	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Upex', u'Ftem']	(;)	
365	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp', u'Upex']	(;)	0
366	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem', u'Itmp']	(;)	0
367	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr', u'Atem']	(;)	0
368	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Endr']	(;)	0
369	['#', u'Stem', u'Epro', u'}', u'Ltem', u';']	(;)	0
370	['#', u'Stem', u'Epro', u'}', u'Ltem']	(})	
371	['#', u'Stem', u'Epro', u'}']	(})	0
372	['#', u'Stem', u'Epro']	(void)	
373	['#', u'Stem']	(void)	0
374	['#', u'Dstr']	(void)	3 Dstr
375	['#', u'Stem', u'Decl']	(void)	2 Decl Stem
376	['#', u'Stem', u'Func', u'ID', u'void']	(void)	5 void ID Func
377	['#', u'Stem', u'Func', u'ID']	(ID)	
378	['#', u'Stem', u'Func']	(()	
379	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Vpam', u'(', u'Mpro']	(()	9 Mpro ( Vpam Pnum ) Bloc Epro
380	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Vpam', u'(']	(()	0
381	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Vpam']	(void)	
382	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'void']	(void)	11 void
383	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum']	())	
384	['#', u'Stem', u'Epro', u'Bloc', u')']	())	0
385	['#', u'Stem', u'Epro', u'Bloc']	({)	
386	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u'{']	({)	15 { Kdec Lstr }
387	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec']	(int)	
388	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr', u'Kvde']	(int)	16 Kvde Advr ; Kdec
389	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr', u'ID', u'int']	(int)	17 int ID
390	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr', u'ID']	(ID)	
391	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr']	(;)	
392	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';']	(;)	0
393	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec']	(int)	
394	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr', u'Kvde']	(int)	16 Kvde Advr ; Kdec
395	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr', u'ID', u'int']	(int)	17 int ID
396	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr', u'ID']	(ID)	
397	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr']	(;)	
398	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';']	(;)	0
399	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec']	(int)	
400	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr', u'Kvde']	(int)	16 Kvde Advr ; Kdec
401	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr', u'ID', u'int']	(int)	17 int ID
402	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr', u'ID']	(ID)	
403	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr']	(;)	
404	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';']	(;)	0
405	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec']	(ID)	
406	['#', u'Stem', u'Epro', u'}', u'Lstr']	(ID)	0
407	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Lang']	(ID)	18 Lang Ltem
408	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Asla']	(ID)	23 Asla
409	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID', u'Push', u'Mexp']	(ID)	24 Mexp Push ID Push = Expr Upex Pcsk ;
410	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID', u'Push']	(ID)	0
411	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID']	(ID)	0
412	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push']	(=)	
413	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=']	(=)	0
414	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr']	(NUM)	
415	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Aexp']	(NUM)	30 Aexp Atem
416	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Item']	(NUM)	37 Item Itmp
417	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'Fact']	(NUM)	40 Fact Ftem
418	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'NUM', u'Push']	(NUM)	43 Push NUM
419	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'NUM']	(NUM)	0
420	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem']	(;)	
421	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp']	(;)	0
422	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem']	(;)	0
423	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex']	(;)	0
424	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk']	(;)	0
425	['#', u'Stem', u'Epro', u'}', u'Ltem', u';']	(;)	0
426	['#', u'Stem', u'Epro', u'}', u'Ltem']	(ID)	
427	['#', u'Stem', u'Epro', u'}', u'Lstr']	(ID)	19 Lstr
428	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Lang']	(ID)	18 Lang Ltem
429	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Asla']	(ID)	23 Asla
430	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID', u'Push', u'Mexp']	(ID)	24 Mexp Push ID Push = Expr Upex Pcsk ;
431	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID', u'Push']	(ID)	0
432	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID']	(ID)	0
433	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push']	(=)	
434	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=']	(=)	0
435	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr']	(NUM)	
436	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Aexp']	(NUM)	30 Aexp Atem
437	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Item']	(NUM)	37 Item Itmp
438	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'Fact']	(NUM)	40 Fact Ftem
439	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'NUM', u'Push']	(NUM)	43 Push NUM
440	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'NUM']	(NUM)	0
441	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem']	(;)	
442	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp']	(;)	0
443	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem']	(;)	0
444	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex']	(;)	0
445	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk']	(;)	0
446	['#', u'Stem', u'Epro', u'}', u'Ltem', u';']	(;)	0
447	['#', u'Stem', u'Epro', u'}', u'Ltem']	(ID)	
448	['#', u'Stem', u'Epro', u'}', u'Lstr']	(ID)	19 Lstr
449	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Lang']	(ID)	18 Lang Ltem
450	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Asla']	(ID)	23 Asla
451	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID', u'Push', u'Mexp']	(ID)	24 Mexp Push ID Push = Expr Upex Pcsk ;
452	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID', u'Push']	(ID)	0
453	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID']	(ID)	0
454	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push']	(=)	
455	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=']	(=)	0
456	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr']	(NUM)	
457	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Aexp']	(NUM)	30 Aexp Atem
458	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Item']	(NUM)	37 Item Itmp
459	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'Fact']	(NUM)	40 Fact Ftem
460	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'NUM', u'Push']	(NUM)	43 Push NUM
461	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'NUM']	(NUM)	0
462	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem']	(;)	
463	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp']	(;)	0
464	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem']	(;)	0
465	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex']	(;)	0
466	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk']	(;)	0
467	['#', u'Stem', u'Epro', u'}', u'Ltem', u';']	(;)	0
468	['#', u'Stem', u'Epro', u'}', u'Ltem']	(ID)	
469	['#', u'Stem', u'Epro', u'}', u'Lstr']	(ID)	19 Lstr
470	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Lang']	(ID)	18 Lang Ltem
471	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Asla']	(ID)	23 Asla
472	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID', u'Push', u'Mexp']	(ID)	24 Mexp Push ID Push = Expr Upex Pcsk ;
473	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID', u'Push']	(ID)	0
474	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID']	(ID)	0
475	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push']	(=)	
476	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=']	(=)	0
477	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr']	(ID)	
478	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Aexp']	(ID)	30 Aexp Atem
479	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Item']	(ID)	37 Item Itmp
480	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'Fact']	(ID)	40 Fact Ftem
481	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID', u'Push']	(ID)	45 Push ID FTYP
482	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID']	(ID)	0
483	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'FTYP']	(()	
484	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'Call']	(()	46 Call
485	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist', u'(', u'Mpsk']	(()	47 Mpsk ( Rist Upsk )
486	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist', u'(']	(()	0
487	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist']	(ID)	
488	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Expr']	(ID)	49 Expr Rltm
489	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Aexp']	(ID)	30 Aexp Atem
490	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Item']	(ID)	37 Item Itmp
491	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'Fact']	(ID)	40 Fact Ftem
492	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID', u'Push']	(ID)	45 Push ID FTYP
493	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID']	(ID)	0
494	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP']	(,)	
495	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem']	(,)	0
496	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp']	(,)	0
497	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem']	(,)	0
498	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm']	(,)	0
499	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist', u',', u'Upsk']	(,)	50 Upsk , Rist
500	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist', u',']	(,)	0
501	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist']	(ID)	
502	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Expr']	(ID)	49 Expr Rltm
503	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Aexp']	(ID)	30 Aexp Atem
504	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Item']	(ID)	37 Item Itmp
505	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'Fact']	(ID)	40 Fact Ftem
506	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID', u'Push']	(ID)	45 Push ID FTYP
507	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID']	(ID)	0
508	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP']	(,)	
509	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem']	(,)	0
510	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp']	(,)	0
511	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem']	(,)	0
512	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm']	(,)	0
513	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist', u',', u'Upsk']	(,)	50 Upsk , Rist
514	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist', u',']	(,)	0
515	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist']	(ID)	
516	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Expr']	(ID)	49 Expr Rltm
517	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Aexp']	(ID)	30 Aexp Atem
518	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Item']	(ID)	37 Item Itmp
519	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'Fact']	(ID)	40 Fact Ftem
520	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID', u'Push']	(ID)	45 Push ID FTYP
521	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID']	(ID)	0
522	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP']	(()	
523	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'Call']	(()	46 Call
524	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist', u'(', u'Mpsk']	(()	47 Mpsk ( Rist Upsk )
525	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist', u'(']	(()	0
526	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rist']	(ID)	
527	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Expr']	(ID)	49 Expr Rltm
528	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Aexp']	(ID)	30 Aexp Atem
529	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Item']	(ID)	37 Item Itmp
530	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'Fact']	(ID)	40 Fact Ftem
531	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID', u'Push']	(ID)	45 Push ID FTYP
532	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID']	(ID)	0
533	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u'FTYP']	())	
534	['#', u'Stem', u'Epro', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem', u')', u'Upsk', u'Rltm', u'Atem', u'Itmp', u'Ftem']	())	0
